Category,Specimen_name
alg,alg
paly,alg?
pol,Alnipollenites
pol,Alnipollenites verus
pol,Alnus
fun,Amerospore
pol,Arecipites
pol,Arecipites reticulatus
pol,Arecipites tenuiexinous
pol,Arecipites?
alg,Azolla
pol,Betulaceae
pol,Betulaceae type
pol,Betulaceae/Myricaceae
Bipol,Bipol
Bipol,Bisaccate
Bipol,Bisaccate pollen
pol,Bombacacidites
alg,Botryococcus
fun,Bulbilspore
pol,Calamuspollenites
pol,Caryapollenites
pol,Caryapollenites prodromus
pol,Caryapollenites veripites
spo,Cicatricosisporites
spo,Cicatricosisporites dorogensis
pol,Clavatricolporites
spo,Cyathidites
spo,Deltoidospora
fun,Didymospore
din,din
paly,din?
pol,di-triporites
pol,Ericipites
fun,fun
fun,Germling
pol,Illexpollenites
pol,Inaperturopollenites
pol,Juglandaceae/Betulaceae
pol,Juglans
spo,Laevigatosporites
spo,Laevigatosporites ovatus
spo,Laevigatosporites sp.
pol,Liliacidites
pol,Liliacidites?
pol,Maceopolipollenites
pol,Momipites
pol,Momipites wyomingensis
pol,Momipites?
pol,Monocolpites
pol,Monocolpites?
pol,Monocolpopollenites
spo,Monolete
pol,Monoporopollenites annulatus
pol,Monosulcites
paly,paly
paly,paly?
alg,Pediastrum
fun,Phragmospore
pol,Pistillipollenites
pol,Platycarya platycarioides
pol,Platycaryapollenites swasticoides
pol,pol
paly,pol?
pol,Psilamonocolpites
pol,Retipollenites
pol,Retitrescolpites
pol,Sabal
pol,Sabal?
spo,spo
paly,spo?
spo,Stereisporites?
paly,TCT
pol,Tetracolporopollenites
pol,Trichotomosulcites
pol,Tricolpites
pol,Tricolporites
spo,Triletes
pol,Triporopollenites
pol,Ulmipollenites undulosus
pol,Ulmipollenites undulosus
pol,Sapindaceae?
pol,Fraxinoipollenites
pol,Plicatopollis lunata
pol,Carya simplex
pol,Betula claripites
pol,Caryapollenites wodehousei

